PIDN,Ca,P,pH,SOC,Sand
09gt9UK5,-0.556677838424,-0.0213881618061,-1.32497399561,-0.541406554158,1.48794667502
0BVvxJ6a,0.74047579079,0.718942807029,1.45151375589,0.245055447413,-1.42050732548
0KbdgApg,-0.199254077521,0.345643905287,0.0351809241102,0.471617516614,-0.926194305872
0MnuuduB,-0.272412573435,-0.378470262265,-0.14378945912,0.346003865351,-0.590261222107
0PcIsF9z,-0.43388295239,-0.595844564307,-1.73736335127,0.374913109966,-0.162155550618
0ShTFLYJ,-0.66717191814,-1.13365839328,-0.502890510157,-0.99073793568,0.314779402144
0XZh9jka,0.0508752136095,-1.77372492657,-1.35053078101,0.731012935116,-0.617301046486
0Y7Wegri,-0.414724810308,1.54965407911,1.05913201583,0.258270220423,-0.0772205025784
0dTqplIM,0.103840353942,0.772033343498,0.540798415763,0.349490183214,-1.12519169771
0lNiZicC,-0.69479472792,-0.471830941694,-1.44130406618,-0.506209787345,-0.000882872770923
0rGeJ0QN,-0.483932051466,0.426888513299,-0.431458365572,0.00294781275183,-0.184625233833
0sXI9ytQ,-0.776184807206,0.0088946461146,-0.62534527031,-0.217097001711,1.7617822602
0ukt4aP6,0.702656200308,-0.403953467772,1.55323500925,-0.863847948333,0.431370197584
1AGspb8f,-0.490014908179,-0.105396470252,-1.15907400026,-0.164174127956,-1.26836776238
1Csy0gvE,-0.459667992502,0.726139648557,-0.0923991291626,-0.506421689504,0.763943868054
1Ic2hly1,-0.134144068877,0.183594524437,-0.570764991218,-0.147463372417,0.66720272353
1PPbaTwt,-0.251817510979,0.615476857685,-0.869127130756,-0.528552401626,1.0914809128
1SO5VJNy,-0.350693802279,0.529308471125,0.368054546486,-0.394325918757,0.500162495857
1arHxK3Y,0.716008931463,0.475986956248,1.63560812973,-0.0211559781835,-0.302603354852
1fCW4Bba,-0.317877914162,0.80634893084,-0.0166156020315,-0.703413664802,1.24929344072
1qDZNvIm,-0.840373438971,0.278679313636,-0.149400804166,-0.75950568137,1.37280879531
28LYJC2V,-0.495691061256,0.480583487451,-1.1711199912,0.473551352051,-0.881256845131
2CzACvQq,0.559180484468,0.578467750875,2.17698757802,-0.492979538527,-0.426569434127
2FT3crfv,-0.119239750192,0.56542245845,0.199755972633,-0.0438280738546,-0.876185978217
2Fy2uHVg,-0.560426941449,-0.0494176865934,-0.738924523841,-0.866714186503,-0.3653172598
2MkMEApm,-0.279111573096,0.775657764106,0.043956884135,-0.555623213138,1.60334828069
2NDGWEOe,0.668177254525,0.499051691075,1.66166507427,-0.902691469271,-0.608372129811
2NyyCiqn,-0.381907666807,0.543136553064,0.2163442368,-0.576447858159,0.591900826745
2QRzIb84,0.449044396927,1.09734886203,1.86573400025,-0.590233545667,0.510447392769
2QcbdrUZ,-0.644771653604,-0.428130183743,-0.257779152221,-0.592283499208,0.600854426486
2YgAimWK,-0.261105764529,0.314223142081,0.123186648523,-0.586440522038,1.36963369846
2cx85d9H,0.0269308620237,0.190121495977,-0.160676017537,0.551581247042,-1.08070313173
2homMXMV,-0.461586203591,0.258452388715,-1.63758640185,0.197789326009,0.486793609185
2ldLrUtq,-0.59836309523,-0.0439769608049,-0.268591904846,-0.407877382394,-0.340411349319
2nsACW6G,-0.296376194575,-0.857288425981,-1.32353907994,1.76083536541,-1.11605964938
2yMbVnWc,-0.586966418275,0.978093982899,-1.65647732883,2.52595791434,0.681814631927
36r8sgGQ,-0.302098712225,0.134119842673,-0.0242289392004,-0.677191854519,0.60304626132
3NXAXCl3,-0.204111106553,-1.08200198075,-1.09441928936,0.402228388128,-1.09144900868
3QG0z6fl,-0.480927210603,0.521858865208,-1.54645324317,-0.445460346337,1.17123247451
3WS8R9qm,0.0122128106156,-0.761333264224,-2.30441456875,1.45374966128,-1.07179481969
3fRLm8f5,-0.229117586404,-0.406414535723,-0.696437431547,0.14869096356,0.0611432981948
3mZhp1nQ,-0.55170911841,-0.555208411102,-0.300630797599,-0.484354756314,0.569789737075
3pikJXRL,-0.216238863236,-1.01272336983,-1.18848288316,0.700457931569,-1.25812457743
3pxOEGHL,-0.425563962619,0.34993142439,-0.293768918217,-0.598485599706,0.651164921574
3ttdV3f5,-0.681589529537,0.87969895421,-0.724983191451,0.165065214519,-0.665851967163
3v4X6Mfe,1.03197043931,-1.05065466209,1.69558344181,-0.817948033006,0.0607290328312
3wORuPiv,-0.590521956234,-0.279194905318,-0.738106279469,-0.283916738549,-0.649934440178
43EfrxZj,0.164864491731,0.467591727084,-0.145232891612,0.182245481866,-0.352225516117
457Vwm21,0.0870725437584,1.17899592191,1.03201690442,0.937559871515,-0.735867362293
46KNnOdx,-0.543166949144,0.513187455747,-0.738543538814,-0.371125902052,-0.477641131401
47TwNsVC,-0.469330575398,-0.724135221787,-1.5025114742,1.47469803641,-0.841350935997
49856RpO,-0.543869223668,-1.04183185353,-0.58731703441,-0.58016761366,-0.883604385844
4Ane1o2N,-0.42636797581,-0.0933123468012,-0.323696241161,-0.427804623522,0.214350507821
4AyVUgSc,-0.694365209772,-0.374623680484,-0.538033303972,-0.547348177397,-1.23675709673e-06
4B1951On,-0.0611467747213,0.0986995468342,-0.00279085993393,-0.115684618162,0.581165139875
4OL39Teo,0.111708824691,0.681357090188,0.042433070288,0.247891119031,-0.127894278512
4eQ90eLY,-0.0923139579589,0.527353467894,-0.0265069391115,0.637989955353,0.282050921151
4o5jwMj8,-0.479248580603,-0.169542820616,-0.489180271654,-0.666291200787,0.100913393615
4vPgpl2c,-0.603992409656,-0.315314916821,-0.425682076677,-1.09298244638,0.410592719788
51r9aA0d,-0.819787593883,-0.146656657651,0.0993141663769,-0.583466258193,0.0290514789084
58SmeRoP,-0.394299941804,0.59845894418,0.0850524784432,-0.0169248052135,-0.444561356599
5HJp1AXn,-0.457108262053,-0.0643165354227,-0.890670501334,0.576743622951,-0.26664755119
5MBZW7fx,-0.215265572058,-0.502464648997,0.858671044195,-0.826515783869,0.153579698498
5Nq3gHaP,0.294842636125,1.08404719716,0.41158037575,0.636683632309,0.28967811608
5RmwFFK3,0.263790996471,1.39440148099,0.170927717501,0.178593044073,-0.950939746845
5Tu5Jbov,-0.724846484127,-0.0825521333857,-0.617075643944,-0.0423360223152,-0.553964716054
5YEolkev,-0.465767892947,-0.00158924487422,-0.365430844036,-0.368679440624,-0.125684734006
5a8sf6QV,-0.109790489683,0.539878162117,0.550600365035,0.144816674653,-0.787720770726
5eSvmqYm,-0.610341935215,0.232432551113,-0.0998047722339,-0.821909120889,-0.220179907754
5hkN8fiv,-0.44757545648,-0.614728786311,-1.44565958626,1.26985095364,-0.778162369239
5oK8Gti5,-0.495194203824,0.181632333052,-0.637784198159,-0.536693626131,1.51505466775
5paniGaU,-0.802192889609,0.00645686689877,-1.01629148081,-0.821230729384,1.38452561436
5vsr7ZUP,0.702479641572,0.714569392141,1.54579081885,-0.179510588832,-0.966223049468
60B4xMWI,-0.132524828286,0.720039811241,0.633011632583,-0.748139343747,0.911055109753
64jOUtKy,0.251005134138,1.39708379566,0.191365325799,2.15714631909,-1.16023965014
6AJo4xNG,-0.293781968697,0.261471723358,-0.452067102121,0.0917105242976,0.663911162384
6CAvhEte,-0.382104399585,0.381502211252,-0.850983536364,-0.368921050058,1.02622922403
6CuGYjT5,1.88180235299,0.244704940013,1.81063992928,0.466303359677,-1.23596119981
6DGH8ujZ,-0.282563878742,-0.525209585049,-1.27861620526,0.589032879168,-0.350360276831
6PzsGdVm,-0.376495043761,0.0728276960288,-0.773734120225,0.522966450404,-0.512906941273
6UcSJMbq,-0.0285100452188,1.21565301469,0.825081769517,-0.880242823778,0.532183588563
6WJbkH8U,0.991286353457,-0.175578761369,1.74769165688,-0.074083016513,-1.30475710391
6eUWsVzw,0.851477045315,0.973718917377,1.91350969224,-0.200092673333,-1.25673358615
6gNyO7Do,-0.0290068240364,0.262498924717,0.0834027679921,0.803730520443,-1.03917315398
6jT0AyHe,-0.0680555424098,0.802026014249,0.745920849409,0.252484202391,-1.25601496467
6nBgCvWu,-0.700536318425,0.155764313571,-0.303666635073,-0.323982523723,1.22896699963
6ro5mqg6,-0.246641767779,-0.366966828399,-0.271871171376,-0.634204123038,0.444206073598
6sGqObX4,-0.934914270737,-0.875313732472,-0.690986999676,-0.603826787306,-0.722813987019
6uEGy0n4,1.52603475986,-0.18897451127,2.227029925,-0.700533180443,-1.15482230346
7BZ4LxP8,-0.206094110589,-0.608992977979,-0.0876600063555,-0.441935585183,-0.362609875517
7CmigXKi,-0.367669334548,0.124329541527,-1.33598360903,-0.555139334649,0.997101189657
7Ga0LpfR,-0.132217093786,1.84734171426,-1.11256370316,1.80618346988,-0.643717961558
7PQsFvsG,-0.552484088157,-0.151633305468,-1.95064985749,1.25503125057,-0.433185934412
7aF7nnwn,-0.757112222866,-0.437872292051,-0.60690712428,-0.501891547067,0.681720016993
7asGzfX9,-0.0215457064369,0.0899646274347,-0.15389839188,-0.48105941884,0.253193294174
7cg7C92o,-0.422980492941,0.93302393348,0.18960479177,0.99007719117,0.136056002205
7eOxTpsB,-0.466504712954,0.683810548462,0.361854200799,-0.907725151812,1.20696159725
7ey0v7ma,-0.167645768014,-1.04188704332,-1.25790667707,0.0284635196976,-1.30018744607
7gocyrYl,-0.251506013693,0.549838650203,-0.092274012182,0.919246546637,-0.263538663403
7gqR3GoA,-0.305962241393,-0.0277102928039,-0.553592322548,-0.732454288702,-0.482231555792
7og7aUXB,-0.276536098391,0.846201891976,0.573908627688,-0.166399260485,0.0538030683232
7onRfa8F,0.178616115013,-0.380631661278,0.911120583383,-0.331194384486,0.964695606743
7umkNuxM,-0.213913090267,0.0477554655518,-0.0372402220994,0.230262662255,-0.701128688064
7vPr9ExD,-0.117350361937,0.327573795581,0.394206302396,0.158825146054,-0.73710411535
7zNjpCzu,-0.569180980007,-0.0598492963823,-0.473840044108,-0.25964518279,-0.647152079832
7ztsQNj3,-0.66942962474,0.324685794519,-0.318471996439,-0.416666822546,-0.444617289531
86gppwMI,-1.01691198889,-0.294134759083,-1.46019632824,-0.518730201215,1.0455473121
88thAGdL,-0.416340551643,0.469165277836,0.0847473631827,-0.127202809463,0.188110642251
8GhU8STP,0.762157788927,0.509084930508,1.4335424965,0.171497549246,-0.71575337265
8NlzDcWe,-0.627979601289,-0.333575172402,-0.91979802505,-0.394157904671,-0.201093877023
8QAejdLW,-0.181347316857,0.311165631369,0.109546492198,0.623248232065,-1.00162533405
8RDeFxWM,-0.572061262121,0.497973125693,0.158335811715,-0.766060988525,1.26561171625
8UXP2NBS,-0.486666435052,-0.595327985511,-0.544234611175,-1.15400904479,0.541434032253
8ZoV3KGT,-0.31507902152,0.44252328728,0.239410376528,-0.216491039648,-0.101174384394
8ajs2uG8,-0.623922437825,-0.669460332578,-0.720881333382,-0.493037529123,-0.962391181876
8bXnz62p,-0.403430436124,0.299582578918,-0.0802588242506,0.517580016977,0.503509305703
8nO1O1LG,1.16702200997,1.18774730982,1.90537892606,0.885932934144,-0.804149300046
8xE1p8g8,-0.564053161357,-0.195088200421,-0.406415273265,-0.539013832006,-0.483383990906
8yMDVMRM,-0.555045225569,-0.908136732442,-0.727742931361,-0.521929437532,-0.785694855728
